Time,Time Code,Country Name,Country Code,Access to electricity (% of population) [EG.ELC.ACCS.ZS],Coal rents (% of GDP) [NY.GDP.COAL.RT.ZS],Mineral rents (% of GDP) [NY.GDP.MINR.RT.ZS],Natural gas rents (% of GDP) [NY.GDP.NGAS.RT.ZS]
2000,YR2000,Afghanistan,AFG,4.44689083099365,..,..,..
2000,YR2000,Australia,AUS,100,0.184104025753703,0.944083748919392,0.551817752368355
2000,YR2000,Canada,CAN,100,0.0678379849881592,0.180010591231763,2.69008812026294
2000,YR2000,China,CHN,96.7450561523438,0.146386681969002,0.143065124667862,0.14650852993033
2000,YR2000,France,FRA,100,0.000426768443912514,0.000414116623984834,0.00299506579058074
2000,YR2000,Germany,DEU,100,0.0156124005348027,0.000222783857547795,0.0220483201424161
2000,YR2000,India,IND,60.292839050293,0.493768594747216,0.261484986654409,0.174908287833233
2000,YR2000,United States,USA,100,0.140193028838508,0.0134401090902058,0.579475920941945
2000,YR2000,United Arab Emirates,ARE,100,0,0,1.5402537160529
2000,YR2000,United Kingdom,GBR,100,0.00314835134288216,3.94334534740473E-06,0.143159542076019
2001,YR2001,Afghanistan,AFG,9.29452705383301,..,..,..
2001,YR2001,Australia,AUS,100,0.63498237850381,1.14917513979889,0.562124106792889
2001,YR2001,Canada,CAN,100,0.111915500607763,0.122183454333239,2.24768527470397
2001,YR2001,China,CHN,96.9853134155273,0.801896055646553,0.124862064663083,0.134243959482196
2001,YR2001,France,FRA,100,0.000965349093102791,0.000396138286589849,0.00635783621055011
2001,YR2001,Germany,DEU,100,0.0363504237141466,0.000135057831713304,0.0475097973402925
2001,YR2001,India,IND,62.0054397583008,0.803917719626811,0.281168418270262,0.15302460449569
2001,YR2001,United States,USA,100,0.212622185194759,0.0077512969667038,0.466751378646037
2001,YR2001,United Arab Emirates,ARE,100,0,0,1.79003505598156
2001,YR2001,United Kingdom,GBR,100,0.0112116224547952,2.77610073351795E-06,0.297829106442769
2002,YR2002,Afghanistan,AFG,14.1336164474487,0.00465001997676017,0,0.231561307228384
2002,YR2002,Australia,AUS,100,0.402755328418002,1.02724969758044,0.488247924172099
2002,YR2002,Canada,CAN,100,0.0859207575484165,0.138256427266278,1.52405736696144
2002,YR2002,China,CHN,97.2170181274414,0.263542850237849,0.127806840215127,0.114450402325318
2002,YR2002,France,FRA,100,0.000259166856295448,0.00049109279852457,0.00423334274640622
2002,YR2002,Germany,DEU,100,0.0212106403442727,0.000117724703520263,0.033724476268888
2002,YR2002,India,IND,62.3,0.568997608664759,0.273599724435957,0.228575727565643
2002,YR2002,United States,USA,100,0.151822005426027,0.00516845816122584,0.302755619486716
2002,YR2002,United Arab Emirates,ARE,100,0,0,1.59217479022602
2002,YR2002,United Kingdom,GBR,100,0.00441136767008997,1.67512617049301E-06,0.206006587502172
2003,YR2003,Afghanistan,AFG,18.9711647033691,0.00747274848408489,0,0.036729700085138
2003,YR2003,Australia,AUS,100,0.230063115657696,0.756897930134733,0.5084006809536
2003,YR2003,Canada,CAN,100,0.0703204719569824,0.153175450905851,2.64892897467011
2003,YR2003,China,CHN,97.4471893310547,0.220007406138794,0.137301920518456,0.134315827720248
2003,YR2003,France,FRA,100,0.000253270748053223,0.00037699915829033,0.00332236455310995
2003,YR2003,Germany,DEU,100,0.0155847293701629,6.14627294705321E-05,0.0304352574071414
2003,YR2003,India,IND,65.4120101928711,0.573742461427988,0.240792185441215,0.212533349770852
2003,YR2003,United States,USA,100,0.154155845833328,0.0104020159899936,0.612792290539168
2003,YR2003,United Arab Emirates,ARE,100,0,0,1.40024746926002
2003,YR2003,United Kingdom,GBR,100,0.00382339432962882,5.59295680001134E-08,0.193694812254787
2004,YR2004,Afghanistan,AFG,23.8141822814941,0.0165437838421436,0,0.0283021705785469
2004,YR2004,Australia,AUS,100,0.933946347350269,0.902925008259013,0.448804277256907
2004,YR2004,Canada,CAN,100,0.141081981512294,0.285289345037603,2.36322206157322
2004,YR2004,China,CHN,97.6828308105469,2.48180871668287,0.263034043120524,0.156262243265364
2004,YR2004,France,FRA,100,0.000156053218409265,0.000206076199611025,0.00220834809870801
2004,YR2004,Germany,DEU,100,0.0694685561161683,9.51458181304022E-05,0.0218423665324729
2004,YR2004,India,IND,64.4,1.35785293463509,0.304343548351911,0.203889436106983
2004,YR2004,United States,USA,100,0.321324626345383,0.0190642644705128,0.569511287090411
2004,YR2004,United Arab Emirates,ARE,100,0,0,1.3026745340904
2004,YR2004,United Kingdom,GBR,100,0.0197997908268176,4.29654039127861E-06,0.137032225524508
2005,YR2005,Afghanistan,AFG,28.6696720123291,0.0109135244434021,0,0.0230939370293463
2005,YR2005,Australia,AUS,100,1.00528465592215,1.90313900134245,0.420182475428722
2005,YR2005,Canada,CAN,100,0.152155931468389,0.278767398290625,3.22083898396214
2005,YR2005,China,CHN,97.9309387207031,1.84458902608905,0.719382293325194,0.164824325904146
2005,YR2005,France,FRA,100,0,0.000298559427163688,0.00148807022362251
2005,YR2005,Germany,DEU,100,0.0608344592567013,0.000264918426255141,0.0181131670399714
2005,YR2005,India,IND,68.8404541015625,1.09839598619948,0.839983093989034,0.220626603025343
2005,YR2005,United States,USA,100,0.26507175601934,0.0256053896311341,0.797236904730241
2005,YR2005,United Arab Emirates,ARE,100,0,0,1.39252709986089
2005,YR2005,United Kingdom,GBR,100,0.0110054440706098,4.91646277770155E-06,0.101098531314747
2006,YR2006,Afghanistan,AFG,33.5444183349609,0.0112063527032708,0,0.0175735938615238
2006,YR2006,Australia,AUS,100,1.07281199355498,2.80480565031535,0.399162747844491
2006,YR2006,Canada,CAN,100,0.153706697524731,0.602746949973667,1.41752853523662
2006,YR2006,China,CHN,98.1983032226563,1.8434710833023,1.17112949883967,0.142534786756028
2006,YR2006,France,FRA,100,0,0.000581288296468117,0.0036644600177254
2006,YR2006,Germany,DEU,100,0.0574116818103335,0.000312536126871344,0.0400152093967188
2006,YR2006,India,IND,67.9,1.10274899573459,1.01880931000453,0.198610657575394
2006,YR2006,United States,USA,100,0.275791896326636,0.0637464562948489,0.382513454180692
2006,YR2006,United Arab Emirates,ARE,100,0,0,1.32306915187906
2006,YR2006,United Kingdom,GBR,100,0.00973239142423483,1.18806174642761E-05,0.1916673407739
2007,YR2007,Afghanistan,AFG,38.4400024414063,0.0770462649096367,0,0.0140511789653461
2007,YR2007,Australia,AUS,100,0.861705552072965,4.25348976645078,0.355799251990489
2007,YR2007,Canada,CAN,100,0.109096873104644,0.785283814075548,1.1136047676712
2007,YR2007,China,CHN,98.4865036010742,2.10209759333344,2.15745853560002,0.125539522363848
2007,YR2007,France,FRA,100,0,0.000624905015499963,0.00285427992345928
2007,YR2007,Germany,DEU,100,0.0592990895293438,0.000747533916287596,0.0359840365971986
2007,YR2007,India,IND,72.3407135009766,1.18900229850656,1.70049664592402,0.0988812569418624
2007,YR2007,United States,USA,100,0.249875712879914,0.0700163062364638,0.339351155793805
2007,YR2007,United Arab Emirates,ARE,100,0,0,1.21877202510384
2007,YR2007,United Kingdom,GBR,100,0.0121864379548783,4.8107654760847E-05,0.157083452753946
2008,YR2008,Afghanistan,AFG,42.4,0.221132916238516,0,0.0162665856535653
2008,YR2008,Australia,AUS,100,2.95865213970117,4.12640450969226,0.331366192668345
2008,YR2008,Canada,CAN,100,0.374150835026828,0.513529436655604,1.5731684213923
2008,YR2008,China,CHN,98.7919387817383,4.95292742699964,2.36221058764274,0.117610932160963
2008,YR2008,France,FRA,100,0,0.00103942259758142,0.00416381388602014
2008,YR2008,Germany,DEU,100,0.178039130275431,0.00102210231944589,0.0529173919215807
2008,YR2008,India,IND,74.1184921264648,2.84447501265705,2.27976069077449,0.100824736385287
2008,YR2008,United States,USA,100,0.69687957292833,0.110496529638692,0.551540732489892
2008,YR2008,United Arab Emirates,ARE,100,0,0,1.04274122887812
2008,YR2008,United Kingdom,GBR,100,0.0449803959802397,8.43679789814536E-05,0.290604342207015
2009,YR2009,Afghanistan,AFG,48.2790069580078,0.128832445822436,0,0.0102634444245309
2009,YR2009,Australia,AUS,100,1.49919129745478,2.37629219907027,0.380336796941961
2009,YR2009,Canada,CAN,100,0.198211464291355,0.203571172276145,0.129656375469644
